image,kind,label,v9_score,strict_pred,defect_pred,fold_pred,dice,cluster_count
leather/test/color/000.png,color,1,23.415388107299805,1,1,0,0.3934,1
leather/test/color/001.png,color,1,17.70609474182129,1,0,0,0.0,0
leather/test/color/002.png,color,1,25.322969436645508,1,0,0,0.0,0
leather/test/color/003.png,color,1,18.73952293395996,1,0,0,0.0,0
leather/test/color/004.png,color,1,14.400446891784668,1,0,0,0.0,0
leather/test/color/005.png,color,1,20.550561904907227,1,0,0,0.0,0
leather/test/color/006.png,color,1,26.29421615600586,1,1,0,0.6053,1
leather/test/color/007.png,color,1,21.413049697875977,1,0,1,0.5417,1
leather/test/color/008.png,color,1,23.508848190307617,1,0,0,0.0,0
leather/test/color/009.png,color,1,18.44283676147461,1,0,0,0.0,0
leather/test/color/010.png,color,1,18.801563262939453,1,0,0,0.0,0
leather/test/color/011.png,color,1,21.781824111938477,1,0,0,0.0,0
leather/test/color/012.png,color,1,23.87557601928711,1,0,0,0.0,0
leather/test/color/013.png,color,1,18.644020080566406,1,0,0,0.0,0
leather/test/color/014.png,color,1,24.751087188720703,1,0,0,0.0,0
leather/test/color/015.png,color,1,28.31222915649414,1,0,1,0.7867,1
leather/test/color/016.png,color,1,17.505590438842773,1,0,0,0.0,0
leather/test/color/017.png,color,1,31.03614044189453,1,1,1,0.7299,2
leather/test/color/018.png,color,1,18.755813598632812,1,0,0,0.0,0
leather/test/cut/000.png,cut,1,38.17243957519531,1,1,0,0.5035,2
leather/test/cut/001.png,cut,1,20.161579132080078,1,0,0,0.0,0
leather/test/cut/002.png,cut,1,17.21428680419922,1,0,0,0.0,0
leather/test/cut/003.png,cut,1,91.48424530029297,1,1,1,0.6243,3
leather/test/cut/004.png,cut,1,25.4469051361084,1,1,0,0.1154,2
leather/test/cut/005.png,cut,1,23.89480972290039,1,1,0,0.0,1
leather/test/cut/006.png,cut,1,31.916662216186523,1,0,1,0.4127,1
leather/test/cut/007.png,cut,1,71.4649887084961,1,1,0,0.5769,2
leather/test/cut/008.png,cut,1,49.231239318847656,1,1,1,0.5614,3
leather/test/cut/009.png,cut,1,14.949565887451172,1,0,0,0.0,0
leather/test/cut/010.png,cut,1,12.141739845275879,1,0,0,0.0,0
leather/test/cut/011.png,cut,1,17.28704261779785,1,0,0,0.0,0
leather/test/cut/012.png,cut,1,45.739341735839844,1,1,0,0.4183,2
leather/test/cut/013.png,cut,1,30.43930435180664,1,1,0,0.4167,1
leather/test/cut/014.png,cut,1,18.36977195739746,1,0,0,0.0,0
leather/test/cut/015.png,cut,1,18.641868591308594,1,0,0,0.0,0
leather/test/cut/016.png,cut,1,58.152687072753906,1,1,0,0.5224,3
leather/test/cut/017.png,cut,1,42.96695327758789,1,1,0,0.4881,1
leather/test/cut/018.png,cut,1,67.2638931274414,1,1,1,0.4339,3
leather/test/fold/000.png,fold,1,70.1618423461914,1,0,1,0.5894,3
leather/test/fold/001.png,fold,1,22.874923706054688,1,1,0,0.1933,1
leather/test/fold/002.png,fold,1,31.019306182861328,1,1,1,0.5063,2
leather/test/fold/003.png,fold,1,31.0202579498291,1,0,1,0.6351,2
leather/test/fold/004.png,fold,1,61.0904655456543,1,1,1,0.6507,5
leather/test/fold/005.png,fold,1,33.10895919799805,1,1,1,0.199,4
leather/test/fold/006.png,fold,1,21.849458694458008,1,0,1,0.0845,1
leather/test/fold/007.png,fold,1,50.236141204833984,1,1,0,0.2832,2
leather/test/fold/008.png,fold,1,37.84773635864258,1,1,1,0.6356,2
leather/test/fold/009.png,fold,1,32.675071716308594,1,1,1,0.587,4
leather/test/fold/010.png,fold,1,25.42162322998047,1,1,1,0.4409,2
leather/test/fold/011.png,fold,1,34.283538818359375,1,1,1,0.6671,3
leather/test/fold/012.png,fold,1,36.516685485839844,1,1,1,0.7081,3
leather/test/fold/013.png,fold,1,30.821897506713867,1,1,0,0.428,3
leather/test/fold/014.png,fold,1,45.286617279052734,1,0,1,0.7346,2
leather/test/fold/015.png,fold,1,55.46820831298828,1,0,1,0.7401,3
leather/test/fold/016.png,fold,1,68.1687240600586,1,1,1,0.6389,4
leather/test/glue/000.png,glue,1,123.2557144165039,1,1,0,0.7655,4
leather/test/glue/001.png,glue,1,23.05401611328125,1,0,0,0.0,0
leather/test/glue/002.png,glue,1,36.935604095458984,1,1,0,0.5942,2
leather/test/glue/003.png,glue,1,23.77735137939453,1,0,0,0.0,0
leather/test/glue/004.png,glue,1,8.91043758392334,0,0,0,0.0,0
leather/test/glue/005.png,glue,1,125.4289779663086,1,1,0,0.7291,3
leather/test/glue/006.png,glue,1,42.359397888183594,1,1,1,0.7503,3
leather/test/glue/007.png,glue,1,27.742998123168945,1,1,0,0.2395,1
leather/test/glue/008.png,glue,1,38.665313720703125,1,1,0,0.5273,3
leather/test/glue/009.png,glue,1,21.130887985229492,1,0,0,0.0,0
leather/test/glue/010.png,glue,1,15.985176086425781,1,0,0,0.0,0
leather/test/glue/011.png,glue,1,24.2623291015625,1,0,0,0.0,0
leather/test/glue/012.png,glue,1,27.898351669311523,1,1,0,0.4256,1
leather/test/glue/013.png,glue,1,131.25039672851562,1,1,0,0.7484,4
leather/test/glue/014.png,glue,1,100.97065734863281,1,1,0,0.5885,3
leather/test/glue/015.png,glue,1,124.05725860595703,1,1,0,0.6434,3
leather/test/glue/016.png,glue,1,27.751232147216797,1,0,1,0.5597,1
leather/test/glue/017.png,glue,1,56.61178207397461,1,0,1,0.7445,3
leather/test/glue/018.png,glue,1,55.29886245727539,1,1,0,0.6365,3
leather/test/good/000.png,good,0,8.122868537902832,0,0,0,0.0,0
leather/test/good/001.png,good,0,9.583324432373047,1,0,0,0.0,0
leather/test/good/002.png,good,0,8.312239646911621,0,0,0,0.0,0
leather/test/good/003.png,good,0,8.133781433105469,0,0,0,0.0,0
leather/test/good/004.png,good,0,8.57693099975586,0,0,0,0.0,0
leather/test/good/005.png,good,0,8.444210052490234,0,0,0,0.0,0
leather/test/good/006.png,good,0,10.268158912658691,1,0,0,0.0,0
leather/test/good/007.png,good,0,10.20491886138916,1,0,0,0.0,0
leather/test/good/008.png,good,0,10.334803581237793,1,0,0,0.0,0
leather/test/good/009.png,good,0,11.105246543884277,1,0,1,0.0,1
leather/test/good/010.png,good,0,9.341397285461426,0,0,0,0.0,0
leather/test/good/011.png,good,0,9.55990219116211,1,0,0,0.0,0
leather/test/good/012.png,good,0,9.891386985778809,1,0,0,0.0,0
leather/test/good/013.png,good,0,9.306927680969238,0,0,0,0.0,0
leather/test/good/014.png,good,0,8.7755708694458,0,0,0,0.0,0
leather/test/good/015.png,good,0,8.600894927978516,0,0,0,0.0,0
leather/test/good/016.png,good,0,7.893664360046387,0,0,0,0.0,0
leather/test/good/017.png,good,0,8.128545761108398,0,0,0,0.0,0
leather/test/good/018.png,good,0,7.710978984832764,0,0,0,0.0,0
leather/test/good/019.png,good,0,9.180910110473633,0,0,0,0.0,0
leather/test/good/020.png,good,0,8.193583488464355,0,0,0,0.0,0
leather/test/good/021.png,good,0,9.236774444580078,0,0,0,0.0,0
leather/test/good/022.png,good,0,9.625226020812988,1,0,0,0.0,0
leather/test/good/023.png,good,0,8.392797470092773,0,0,0,0.0,0
leather/test/good/024.png,good,0,8.772361755371094,0,0,0,0.0,0
leather/test/good/025.png,good,0,9.567951202392578,1,0,0,0.0,0
leather/test/good/026.png,good,0,9.061334609985352,0,0,0,0.0,0
leather/test/good/027.png,good,0,9.531599998474121,1,0,0,0.0,0
leather/test/good/028.png,good,0,8.717512130737305,0,0,0,0.0,0
leather/test/good/029.png,good,0,9.21207046508789,0,0,0,0.0,0
leather/test/good/030.png,good,0,8.663261413574219,0,0,0,0.0,0
leather/test/good/031.png,good,0,9.059365272521973,0,0,0,0.0,0
leather/test/poke/000.png,poke,1,30.751422882080078,1,1,0,0.1857,2
leather/test/poke/001.png,poke,1,30.057668685913086,1,1,0,0.5581,1
leather/test/poke/002.png,poke,1,29.770212173461914,1,1,0,0.5253,1
leather/test/poke/003.png,poke,1,61.15860366821289,1,1,0,0.3067,4
leather/test/poke/004.png,poke,1,34.68061828613281,1,1,0,0.384,3
leather/test/poke/005.png,poke,1,40.568275451660156,1,1,0,0.6797,3
leather/test/poke/006.png,poke,1,44.47389221191406,1,1,0,0.3469,2
leather/test/poke/007.png,poke,1,39.777042388916016,1,1,0,0.4222,2
leather/test/poke/008.png,poke,1,88.05908966064453,1,1,0,0.358,2
leather/test/poke/009.png,poke,1,44.40243148803711,1,1,0,0.581,1
leather/test/poke/010.png,poke,1,37.60780334472656,1,1,0,0.245,2
leather/test/poke/011.png,poke,1,53.401939392089844,1,1,0,0.2588,3
leather/test/poke/012.png,poke,1,49.54727554321289,1,1,0,0.4258,4
leather/test/poke/013.png,poke,1,45.85532760620117,1,1,0,0.3577,2
leather/test/poke/014.png,poke,1,35.439002990722656,1,1,0,0.329,1
leather/test/poke/015.png,poke,1,34.127479553222656,1,1,0,0.5105,2
leather/test/poke/016.png,poke,1,37.765357971191406,1,1,0,0.5056,3
leather/test/poke/017.png,poke,1,35.461097717285156,1,1,0,0.1859,1
