image,label,kind,tile_top2_mean_score,frozen_threshold,prediction,correct,best_tile_score,best_tile_box,tile_count,seconds
test/good/19.jpg,0,good,11.357337951660156,16.47188949584961,0,1,12.022788047790527,"384,768,896,1280",20,81.214396771
test/good/27.jpg,0,good,13.07379150390625,16.47188949584961,0,1,13.12265396118164,"0,384,512,896",20,79.579493125
test/good/39.jpg,0,good,13.479585647583008,16.47188949584961,0,1,13.633186340332031,"1472,384,1984,896",20,79.294139298
test/good/47.jpg,0,good,11.057851791381836,16.47188949584961,0,1,11.32837200164795,"768,976,1280,1488",20,79.17362971200004
test/good/49.jpg,0,good,12.177397727966309,16.47188949584961,0,1,12.410473823547363,"1152,768,1664,1280",20,77.99688807899997
test/good/54.jpg,0,good,13.080856323242188,16.47188949584961,0,1,13.433257102966309,"384,1472,896,1984",20,78.23841919199992
test/good/57.jpg,0,good,43.61601638793945,16.47188949584961,1,0,50.75800323486328,"384,0,896,512",20,79.071659125
test/good/58.jpg,0,good,12.68138313293457,16.47188949584961,0,1,13.791110038757324,"0,0,512,512",20,77.92339656499996
test/good/62.jpg,0,good,15.400007247924805,16.47188949584961,0,1,16.83185577392578,"1472,768,1984,1280",20,79.07888141500007
test/good/8.jpg,0,good,12.96239948272705,16.47188949584961,0,1,13.09687614440918,"1472,384,1984,896",20,78.32785344899992
test/stain/1.jpg,1,stain,13.392440795898438,16.47188949584961,0,0,13.751553535461426,"768,1472,1280,1984",20,77.99409220099994
test/stain/100.jpg,1,stain,12.624149322509766,16.47188949584961,0,0,12.876413345336914,"384,384,896,896",20,78.28713605500002
test/stain/102.jpg,1,stain,13.249726295471191,16.47188949584961,0,0,13.653417587280273,"0,768,512,1280",20,79.16049691700005
test/stain/107.jpg,1,stain,22.398534774780273,16.47188949584961,1,1,32.22859191894531,"976,384,1488,896",20,79.35746856799983
test/stain/112.jpg,1,stain,21.515548706054688,16.47188949584961,1,1,23.160770416259766,"384,0,896,512",20,78.15307348800002
test/stain/121.jpg,1,stain,14.197319030761719,16.47188949584961,0,0,15.14661979675293,"1152,384,1664,896",20,79.107067035
test/stain/122.jpg,1,stain,14.519989967346191,16.47188949584961,0,0,16.217294692993164,"1472,384,1984,896",20,79.34462454100003
test/stain/124.jpg,1,stain,19.06900405883789,16.47188949584961,1,1,19.076784133911133,"1152,384,1664,896",20,79.45698731100015
test/stain/13.jpg,1,stain,14.414714813232422,16.47188949584961,0,0,16.333505630493164,"1152,0,1664,512",20,79.05866713899991
test/stain/133.jpg,1,stain,13.940173149108887,16.47188949584961,0,0,14.571223258972168,"1152,0,1664,512",20,79.14444872499985
test/stain/140.jpg,1,stain,15.716190338134766,16.47188949584961,0,0,16.297863006591797,"384,0,896,512",20,79.16842188100009
test/stain/142.jpg,1,stain,17.339725494384766,16.47188949584961,1,1,18.110443115234375,"0,768,512,1280",20,78.955289645
test/stain/148.jpg,1,stain,17.4263916015625,16.47188949584961,1,1,17.919160842895508,"0,768,512,1280",20,78.1955844439999
test/stain/153.jpg,1,stain,33.16276168823242,16.47188949584961,1,1,42.050846099853516,"384,1472,896,1984",20,79.00095505500008
