archive_path,split,label,source_relative_path,sha256,width,height,mode
fabric_stain_pilot/train_normal/1.jpg,train_normal,good,defect free/1.jpg,d4128459b95bbee3df7e2041846e2ad57165a04f505091f155ebd87d9ea02a15,1984,1488,L
fabric_stain_pilot/train_normal/11.jpg,train_normal,good,defect free/11.jpg,b116d6ccfe76c397637dc48a3803e9e7a5391aefbd71ee030574db22ae6d2af2,1984,1488,L
fabric_stain_pilot/train_normal/12.jpg,train_normal,good,defect free/12.jpg,997eb4c2a7feae98608c4cd96f5333cadad1d808b057bf0af97abaccfdc48185,1984,1488,L
fabric_stain_pilot/train_normal/13.jpg,train_normal,good,defect free/13.jpg,bd08f80f94eb1a45f9dfb0cd12909fa74aebcf11d627d7f06914f3e9158b3096,1984,1488,L
fabric_stain_pilot/train_normal/14.jpg,train_normal,good,defect free/14.jpg,5b2661df783256470088deb9c9e7a9b302ccc2f793775eac13a14376a6740db0,1984,1488,L
fabric_stain_pilot/train_normal/15.jpg,train_normal,good,defect free/15.jpg,c6008230cb6d7ad735db31a504ddf0464c560d2a3b3c7447af2bde749e92ebf9,1984,1488,L
fabric_stain_pilot/train_normal/16.jpg,train_normal,good,defect free/16.jpg,771e706867822ec05d217f787335a68b138d985e3556a6eb9f87422549547627,1984,1488,L
fabric_stain_pilot/train_normal/17.jpg,train_normal,good,defect free/17.jpg,37dcbf10d5febd463d14999ee94d11b010da052b08dbde555455728024f4cd80,1984,1488,L
fabric_stain_pilot/train_normal/18.jpg,train_normal,good,defect free/18.jpg,9f43a6a5b1992649c61188826cfaa013122375bc9ab49a6a6edb114ae031f1b6,1984,1488,L
fabric_stain_pilot/train_normal/21.jpg,train_normal,good,defect free/21.jpg,d8c401fc1333abae6a1dcc3fdbfe6a7c1fe429111e826565c7070c86ee36459d,1984,1488,L
fabric_stain_pilot/train_normal/22.jpg,train_normal,good,defect free/22.jpg,0313687d7491a4450596a26cce64aa050a65ec331a2ba275cbce96abe9bac75f,1984,1488,L
fabric_stain_pilot/train_normal/23.jpg,train_normal,good,defect free/23.jpg,9c3518ea0bd3eaaf909120baba5965d262f679ec23c8fc461b8af770a9a04822,1984,1488,L
fabric_stain_pilot/train_normal/24.jpg,train_normal,good,defect free/24.jpg,0817b33b47998047a8f9395bcd27b64814746699e3da40ff43ecadb3afb8975e,1984,1488,L
fabric_stain_pilot/train_normal/25.jpg,train_normal,good,defect free/25.jpg,c4cfabc1f7176937d861d0c759381f4c6f58826cd209267f6da45c49bc378229,1984,1488,L
fabric_stain_pilot/train_normal/26.jpg,train_normal,good,defect free/26.jpg,27cdee023bf4fcea5c041a53349335477f2224077136f08ac802cf35b8e92349,1984,1488,L
fabric_stain_pilot/train_normal/28.jpg,train_normal,good,defect free/28.jpg,c2623a173397278c10ce356305e5782e10ca20f7855cd9fb64d80d6f5c9bd575,1984,1488,L
fabric_stain_pilot/train_normal/3.jpg,train_normal,good,defect free/3.jpg,146ab9a77d6d467f2cb6e5aba674fc9f890df43247260cceb3ada6c80d4903d1,1984,1488,L
fabric_stain_pilot/train_normal/30.jpg,train_normal,good,defect free/30.jpg,f3478bd4cddd9eb792bcb7722397d2dab64dd4c505c9c17a796104ec1534f756,1984,1488,L
fabric_stain_pilot/train_normal/31.jpg,train_normal,good,defect free/31.jpg,67689da8d866feb8f2e447ad14f8b58bc983b3569c98f3c6d7a3173c1e663219,1984,1488,L
fabric_stain_pilot/train_normal/32.jpg,train_normal,good,defect free/32.jpg,90865c419636e90613641f9febc8295737193eceddd04fc386588779744a87b4,1984,1488,L
fabric_stain_pilot/train_normal/34.jpg,train_normal,good,defect free/34.jpg,12eee636c4c6fea696a9959c8ff986e5772b45c8c0ce007897503a016ea7a50c,1488,1984,L
fabric_stain_pilot/train_normal/35.jpg,train_normal,good,defect free/35.jpg,3e05586859d5a053210cabc312c4f221c6c3e5c5bd1d8d06583bbf1167d72511,1488,1984,L
fabric_stain_pilot/train_normal/37.jpg,train_normal,good,defect free/37.jpg,fad2e3f26e5e4ce7e05816cc4fce7557068ba8932f88532acf5e185ca5d23774,1488,1984,L
fabric_stain_pilot/train_normal/38.jpg,train_normal,good,defect free/38.jpg,6b34cadbd03e161625587a715c8c608682ce29bc2ae30da587f2b928f4d47cf3,1488,1984,L
fabric_stain_pilot/train_normal/4.jpg,train_normal,good,defect free/4.jpg,487caf5fb769787f7e08da7f0f7438a75967fc52e9470f5c5ac642cb7febb148,1984,1488,L
fabric_stain_pilot/train_normal/40.jpg,train_normal,good,defect free/40.jpg,bcfc97e949046d0d412f7f3dde45988d9b23e8fe4e150cd4c9303f432368e053,1984,1488,L
fabric_stain_pilot/train_normal/41.jpg,train_normal,good,defect free/41.jpg,1e3c1975783134bdf0741e112f2ede8d04c32f9c4ff2c3d4746d83760182f66e,1984,1488,L
fabric_stain_pilot/train_normal/42.jpg,train_normal,good,defect free/42.jpg,3b850eb4c32db9d41bdcccae631abe779d5a3bc19e77445c5979e0bab5fddcd2,1488,1984,L
fabric_stain_pilot/train_normal/43.jpg,train_normal,good,defect free/43.jpg,2ecd3888d5f54f1b1c4d490ffcbad0768dde8c7079032357d57e40b93c6e076b,1488,1984,L
fabric_stain_pilot/train_normal/44.jpg,train_normal,good,defect free/44.jpg,80c8475a2f5ccfef91747a1abf2db7c9c242038c9da2b12602f20914ae666bf9,1488,1984,L
fabric_stain_pilot/train_normal/45.jpg,train_normal,good,defect free/45.jpg,f2fae11f63c40ce8db2a5ce8d7fde72be0e340d244cb2de7145aada383f0755b,1488,1984,L
fabric_stain_pilot/train_normal/46.jpg,train_normal,good,defect free/46.jpg,c515a4d4ab0c2d6ab4e8657d41bb6fe9dcc9ef2f84cf0e5a0c504c9c2949878a,1488,1984,L
fabric_stain_pilot/train_normal/48.jpg,train_normal,good,defect free/48.jpg,7906d468d3a9983ac3d67f0ee5ac1d1abc7a7a24db1de8bf696bc119c7a95089,1984,1488,L
fabric_stain_pilot/train_normal/50.jpg,train_normal,good,defect free/50.jpg,9dc37c9dd57c8efe8e48a214b41cfc9a5b58e5c3765d8d5ada2342836e8b410f,1984,1488,L
fabric_stain_pilot/train_normal/51.jpg,train_normal,good,defect free/51.jpg,370db6b929cc8de8a0b8127ed0e109b31495a31b80c190250c20f128e4d670ec,1984,1488,L
fabric_stain_pilot/train_normal/52.jpg,train_normal,good,defect free/52.jpg,5159759ea90f630410e43ad725a920ecda177296d197a164fa768f8b699a2ca9,1984,1488,L
fabric_stain_pilot/train_normal/55.jpg,train_normal,good,defect free/55.jpg,273bf9b879a85067deea973026c6101c4e7ee59c2a03118e7f1da42c8a4e3f0a,1488,1984,L
fabric_stain_pilot/train_normal/56.jpg,train_normal,good,defect free/56.jpg,03a730f614eaa01350013a4db3ad23834fb167621ad3e40da9f6a4cc60526edd,1488,1984,L
fabric_stain_pilot/train_normal/59.jpg,train_normal,good,defect free/59.jpg,e11844f9371005036738f5f433fad1d773485f5a6fdd89f1bd4d675c3b4f3714,1984,1488,L
fabric_stain_pilot/train_normal/6.jpg,train_normal,good,defect free/6.jpg,67dbbcc196d2855490f2636e7bad09272b4aed5857f68ee01b0cb5d2dcfbec28,1984,1488,L
fabric_stain_pilot/train_normal/60.jpg,train_normal,good,defect free/60.jpg,0330b8957600e2a3aec9015e070b93cc65a34354990be762139665e97a80ac13,1984,1488,L
fabric_stain_pilot/train_normal/63.jpg,train_normal,good,defect free/63.jpg,385df7177496d2e3f6499edbd00a9f5dad01359de20d5b3776fef30a9ac28e73,1984,1488,L
fabric_stain_pilot/train_normal/64.jpg,train_normal,good,defect free/64.jpg,8505e8e8eaf4ba490fa5c7c4097fb16c70ebb7513d01cfc430aae59cc00cc130,1984,1488,L
fabric_stain_pilot/train_normal/65.jpg,train_normal,good,defect free/65.jpg,fa1e212eae8ddfa9fb9bdd72b9d5b860b58ef7d4dc275a31f48ba6d8604a5972,1984,1488,L
fabric_stain_pilot/train_normal/66.jpg,train_normal,good,defect free/66.jpg,ada64b52af705aaa272838eb0b75ada7500da61be07d87ca3fa5271e062ec851,1488,1984,L
fabric_stain_pilot/train_normal/68.jpg,train_normal,good,defect free/68.jpg,8edc5bdb52828feb716b6f0171065dd8b4991f361f7e514841ac61726f9ad4da,1984,1488,L
fabric_stain_pilot/train_normal/7.jpg,train_normal,good,defect free/7.jpg,a5596bbccd07144a4806fad2599bbbc688b60eda0e5ac605f051722c78948938,1984,1488,L
fabric_stain_pilot/train_normal/9.jpg,train_normal,good,defect free/9.jpg,2050de4c2cda7bbbf6ae7f2cb716683954784cc4873daa7b18f844bedaa685bf,1984,1488,L
fabric_stain_pilot/val_normal/10.jpg,val_normal,good,defect free/10.jpg,6bf3f6cae4e7f38b62bbfad86dd6b1fea10eed075ee2be606b739a532b625814,1984,1488,L
fabric_stain_pilot/val_normal/2.jpg,val_normal,good,defect free/2.jpg,4209a62d6cedc259bb93fbde34ac01ba723ed07fd59c5c8bd07fa8001ce59c5a,1984,1488,L
fabric_stain_pilot/val_normal/20.jpg,val_normal,good,defect free/20.jpg,9a6676695ee0d6025e249c5734d60c6a7e66ed809d5974e8ae029bfccd7c095c,1984,1488,L
fabric_stain_pilot/val_normal/29.jpg,val_normal,good,defect free/29.jpg,7f390934148ef342f8a73441e8e522dc4474e6c035bcf4638ae31e0690d412d2,1488,1984,L
fabric_stain_pilot/val_normal/33.jpg,val_normal,good,defect free/33.jpg,1a2f82f2dd7067c39076aaab3cb7d70fb21481d4e79e03ad2b9ea1eece20ff08,1488,1984,L
fabric_stain_pilot/val_normal/36.jpg,val_normal,good,defect free/36.jpg,236efaeb9c7bdae6a29b301ca975b7f56b1abd374262d57122028b7f1fc0e042,1488,1984,L
fabric_stain_pilot/val_normal/5.jpg,val_normal,good,defect free/5.jpg,a939d8274d1105956a497292791ad1f7f2dea34918a8463ee398d598e11a737c,1984,1488,L
fabric_stain_pilot/val_normal/53.jpg,val_normal,good,defect free/53.jpg,67efc5c061673f6903416f96b7c71e55b319b3a57c70a5d650d5cdf46279bfc6,1984,1488,L
fabric_stain_pilot/val_normal/61.jpg,val_normal,good,defect free/61.jpg,35a2bba3da67cc0d4b36ff32828287207a54782ddb705cd52031425a2a16724c,1984,1488,L
fabric_stain_pilot/val_normal/67.jpg,val_normal,good,defect free/67.jpg,a5a562f448d5a315f2ee16698be1b5c16a6b05057b76e93370f7f3b955b3f2fd,1488,1984,L
fabric_stain_pilot/test/good/19.jpg,test/good,good,defect free/19.jpg,1231cfdc799c6d6457246935a491b9be820843759a31124155200a77cbf0346a,1984,1488,L
fabric_stain_pilot/test/good/27.jpg,test/good,good,defect free/27.jpg,159f41d3f11585c15112d172cd443c2bf13724531bdfff7159be79896f304974,1984,1488,L
fabric_stain_pilot/test/good/39.jpg,test/good,good,defect free/39.jpg,d044cba2a1670f3960171fa92510bcafdd409677071162e38eefa3665dee3eac,1984,1488,L
fabric_stain_pilot/test/good/47.jpg,test/good,good,defect free/47.jpg,919b0008329177fbbdce0c6f2330d01f46d07d1e626c65bbcee0584b460deb07,1984,1488,L
fabric_stain_pilot/test/good/49.jpg,test/good,good,defect free/49.jpg,7c56c13df4836fe6722e8d965ab1b79bb4e09bb8f8774968fed7fd50535a5462,1984,1488,L
fabric_stain_pilot/test/good/54.jpg,test/good,good,defect free/54.jpg,3cbd718f80e4db61b0534aed2e06f50f875f9ba03af5fec00ac34bf61e0c38b4,1488,1984,L
fabric_stain_pilot/test/good/57.jpg,test/good,good,defect free/57.jpg,ca3fe0b50d5468220800b76100c3ee6867f13241a7b9be005d3612f46e6ad39d,1488,1984,L
fabric_stain_pilot/test/good/58.jpg,test/good,good,defect free/58.jpg,e8066dfa8f4e18aa26468c45d99e32a81c694d59ddaae2234fed796c8e643da0,1488,1984,L
fabric_stain_pilot/test/good/62.jpg,test/good,good,defect free/62.jpg,c723ba10036a0502353aded6d1fde4f4cb8f816824bc9ad99069a1c7df161897,1984,1488,L
